Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	caprolactam	Nonanoic acid	indole	a-copaene	petasitene	trans-a-bergamotene	b-caryophyllene	trans-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(E)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	cis-a-bergamotene	(1Z,4Z,7Z)-1,5,9,9-tetramethylcycloundeca-1,4,7-triene	(2E)-2,7-dimethylocta-2,6-dien-1-ol	benzaldehyde	D-limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	4,7-Methano-1H-indene, 2,4,5,6,7,7a-hexahydro-	cosmene	(4E,6Z)-alloocimene	Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	3-Furaldehyde
NEXP2Leaf_920bT11_9202022_11.qgd	3474	0	37045	0	132675	3137	6608	3164	0	0	1175	18204	290593	22451	108068	1526	511	0	0	248	7371	0	0	0	0	0	0	0	897	2004	0	66077	128283	156979	6839	0	734	0	0	208	0	26608
NEXP2Leaf_920bT12_9202022_12.qgd	2844	0	31636	22859	1672	1569	6308	3746	0	0	1171	0	209495	17616	129886	2071	582	959	0	613	10307	0	0	0	0	0	0	0	1037	2721	0	32600	110715	111208	8175	0	0	0	0	365	0	23572
NEXP2Leaf_920bT13_9202022_13.qgd	39340	0	2794	0	3711	270	0	969	0	0	1689	0	29040	45275	113777	4262	0	856	0	0	5041	0	0	0	0	1622	0	0	0	613	0	0	56826	4706	1229	99199	0	0	0	0	0	0
NEXP2Leaf_920bT14_9202022_14.qgd	51017	0	19052	0	948	679	582	2634	0	0	1547	3353	48538	160167	106248	486	0	0	0	0	5318	0	0	0	41958	7474	0	0	0	1440	0	6632	53657	58871	4108	46457	0	0	0	142	0	11264
NEXP2Leaf_920bT15_9202022_15.qgd	8883	0	1127	0	2001	0	0	1584	0	0	1312	0	31940	330612	70793	1727	0	0	0	0	6212	0	0	0	121968	13991	0	0	0	781	377	0	52666	2278	1424	13288	0	0	0	0	0	8036
NEXP2Leaf_920bT16_9202022_16.qgd	41231	0	26121	22571	63586	2485	1409	3338	0	0	670	0	229021	461340	89536	941	470	0	0	0	9080	0	0	0	205782	106140	0	1593	856	1853	0	33192	81312	69399	5106	68027	1036	0	1935	207	320	16732
NEXP2Leaf_920bT17_9202022_17.qgd	2377	0	1123	0	1560	0	0	2525	0	0	2544	0	18847	78572	55317	695	0	868	0	0	4098	0	0	1255	0	3342	0	0	0	0	1111	0	46083	2324	1259	11316	0	0	0	144	335	0
NEXP2Leaf_920bT18_9202022_18.qgd	704	0	2160	0	527	0	0	1590	0	0	1512	0	17912	24791	61160	1812	0	832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34272	798	712	0	0	0	211	0	0	3908
NEXP2Leaf_920bT19_9202022_19.qgd	0	0	1467	0	1659	0	0	2012	0	0	829	0	24296	133008	32385	1489	0	283	0	269	4042	0	0	0	0	0	0	0	0	0	0	0	47204	2432	1318	0	0	0	0	0	0	4814
NEXP2Leaf_920bT20_9202022_20.qgd	0	0	1665	0	2620	0	0	1970	0	0	1535	0	45745	35339	309261	2621	274	0	0	0	6550	0	0	0	0	0	0	0	0	1555	0	0	61625	2562	3594	0	0	0	0	0	0	6354
NEXP2Leaf_920bT21_9202022_21.qgd	0	0	1489	0	2179	0	0	1923	0	0	1590	0	35693	150490	76755	2005	0	0	0	0	4382	0	0	0	0	0	0	0	0	0	0	0	53803	2690	908	689	0	0	0	0	229	0
NEXP2Leaf_920bT22_9202022_22.qgd	3236	0	2355	0	2479	0	0	516	0	0	527	0	30918	344696	106830	1075	0	973	0	1507	5391	0	0	0	14773	1564	0	0	0	0	902	0	26371	2652	1302	6589	0	0	0	0	0	3448
NEXP2Leaf_920bT23_9202022_23.qgd	0	49	0	0	0	0	0	0	0	0	82	0	0	2211	0	0	0	0	0	0	239	0	0	105	0	0	0	0	0	0	150	195	0	0	0	0	0	0	69	95	0	0
NEXP2Leaf_920bT23redo_9212022_19.qgd	8838	0	1665	0	149	0	0	745	0	0	379	0	18443	28357	8883	206	0	0	0	0	301	0	0	495	1564	0	150	0	0	0	0	0	23362	3118	795	1536	0	0	0	0	0	0
NEXP2Leaf_920bT24_9202022_24.qgd	9384	0	24411	7486	25981	0	1624	1400	0	0	542	3062	35312	188602	54174	1158	0	0	0	0	2176	0	0	0	23192	7655	0	2035	0	1694	0	11200	46839	26042	1245	17472	0	0	0	0	0	8780
NEXP2Leaf_920bT25_9202022_25.qgd	11159	0	47096	27339	108546	2073	7682	2546	0	0	1841	0	267769	24248	88122	3210	979	0	0	0	13027	0	0	0	26175	72149	0	7641	1199	1199	0	39470	115507	119152	6544	21154	0	0	0	360	472	27050
NEXP2Leaf_920bT26_9202022_26.qgd	4055	0	31550	11605	31273	0	952	2417	0	0	1543	0	138943	55399	89729	1506	0	203	0	0	5780	0	0	0	0	0	0	0	0	970	0	18364	104395	35052	2975	2241	532	0	0	135	0	22550
