Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	caprolactam	Nonanoic acid	indole	a-copaene	petasitene	trans-a-bergamotene	b-caryophyllene	trans-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(E)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	cis-a-bergamotene	(1Z,4Z,7Z)-1,5,9,9-tetramethylcycloundeca-1,4,7-triene	benzaldehyde	D-limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	4,7-Methano-1H-indene, 2,4,5,6,7,7a-hexahydro-	cosmene	(4E,6Z)-alloocimene	Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	3-Furaldehyde	1,4-Cyclohexadiene, 3-ethenyl-1,2-dimethyl-	2-Decanone	Benzamide	Benzenebutanoic acid, .gamma.-oxo-	2,6-Octadienal, 3,7-dimethyl-, (E)-	1,2,3-Propanetriol, 1-acetate	pentan-1-ol
Ihyb_701A_N_220711_822022_01.qgd	0	0	77616	29394	61044	683568	1298	7859	0	1437	707	0	25234	17236	66429	1044	0	0	0	640	2267	8359	0	0	359	875	0	5279	0	0	667	31193	3456	3799	0	13086	0	14095	8734	0	6753	4003	2765	9950	19957	0	41767	0
Ihyb_701A_N_220727_7292022_07.qgd	2765	0	82898	46659	108890	1269140	1841	34532	5168	2279	1756	0	19915	52666	112268	445	218	0	3194	541	13995	162209	0	8406	6565	1823	1975	0	0	1880	0	50599	2939	660	0	14532	6133	3987	25284	5549	9938	4690	6180	29438	41699	1580	55257	0
Ihyb_701B_N_220727_7292022_08.qgd	1755	0	147730	166658	332346	3495756	5741	30455	0	3537	2366	0	41216	148844	293248	3862	226	0	4338	0	19133	250585	0	0	0	0	4240	0	0	2472	0	83995	8205	1847	1175	30392	12797	7690	76646	0	14463	8162	10117	49305	49846	6813	33388	2138
Ihyb_703A_N_220727_812022_06.qgd	7156	0	178824	89198	176802	1670763	2502	4147	22042	0	2140	0	111893	88765	714304	2919	0	0	25098	2977	58716	811017	0	0	15674	15643	0	0	0	11667	0	167189	36589	11386	2802	26107	8966	28893	32430	0	31640	7688	12875	66452	445103	8506	40360	721
Ihyb_703B_N_220727_812022_15.qgd	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	79	0	0	0	0	153	0	0	512	0	119	0	0	0	0	74	0	0	0	0	0	0	0	0	86	0	0	0	0	402	0	283	0
Ihyb_706_D_220712_822022_06.qgd	2026	0	1252740	0	1470	1164	0	1315	0	2104	582	756	13624	25851	53951	1103	9813	0	0	2297	0	0	0	1118	6085	753	1936	0	0	36580	0	115938	19787	1629	4625	0	0	0	179	0	6149	0	3451	3874	12000	0	39997	1032
Ihyb_706_D_220728_812022_06.qgd	2087	0	160950	0	15130	76162	0	2579	0	4596	1252	0	40725	543926	280670	5152	7838	0	11651	9660	7495	74215	0	0	797	0	4465	0	0	34958	2444	79825	33935	4407	4681	4130	2270	3375	2433	0	16035	1520	10919	19964	31839	0	156476	1712
Ihyb_706A_N_220711_822022_24.qgd	11212	0	1093037	90148	105577	444696	2109	5021	0	33920	3490	3135	63960	753414	515415	2313	1974	0	9557	46807	0	102799	30015	0	33451	10723	7111	0	0	0	4278	123719	136069	7166	22810	24956	6258	28913	19330	0	14444	9064	14920	39778	45297	0	37011	0
Ihyb_706A_N_220727_7292022_06.qgd	0	0	16881	126377	281675	2839297	4592	1040	13031	1492	899	0	50295	499367	73793	1713	1485	0	7242	0	27515	446552	0	0	0	981	1876	0	0	6482	0	40002	4624	1014	0	13800	3312	5443	31286	9670	8602	4614	4859	9558	12184	5939	44552	0
Ihyb_706B_N_220727_812022_16.qgd	1396	0	419582	305897	666777	6664348	12663	2708	47299	15182	2474	0	47720	230493	99915	700	8784	0	39903	5573	103788	1782788	0	47597	10857	2359	8098	4625	0	36086	0	100878	32123	4329	2183	54800	21713	16144	129714	60234	11357	14240	7765	30296	44445	49102	35673	4588
Ihyb_707_D_220712_822022_05.qgd	0	0	5465	0	1192	0	0	1946	0	864	1046	0	26996	51294	75734	584	0	0	0	407	696	0	0	0	0	0	0	0	0	0	0	120338	1583	1243	0	0	0	0	0	0	9832	126	755	16040	37810	0	45391	0
Ihyb_707_D_220728_812022_19.qgd	0	0	7628	0	5125	29880	0	4104	0	0	2892	224	40007	121563	242846	7280	0	0	0	0	4467	0	0	0	0	0	0	0	0	0	0	151228	4548	1545	0	0	0	0	683	0	10162	0	11387	59112	72811	4758	86498	0
Ihyb_707A_N_220711_842022_02.qgd	0	0	54642	62334	117220	1268440	1847	1728	0	0	0	0	31902	30652	88284	948	0	0	0	3590	3914	41641	0	0	0	0	0	0	0	0	0	52035	7386	2753	1257	17542	0	19768	26656	0	12401	7232	4958	8215	70570	1750	48554	0
Ihyb_707B_N_220727_812022_13.qgd	0	61	0	0	0	0	68	0	0	126	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ihyb_707B_N_220727_822022_13.qgd	0	0	3619	14358	35632	422046	668	985	0	0	339	0	11593	35377	53269	777	0	0	0	140	4833	45330	0	1167	0	0	200	0	0	0	0	22444	1685	1482	0	2199	380	1083	2658	0	7943	515	3412	4316	9914	0	46387	0
Ihyb_709A_N_220727_812022_07.qgd	2448	0	757599	111989	186692	2249568	3787	3155	5773	0	1245	340	34860	51573	60641	1916	108	0	11856	8190	30339	581594	0	0	7138	3514	1582	0	0	0	2597	35815	22521	5648	3986	10364	4228	3433	35953	7095	12583	3926	0	5533	12218	0	56036	0
Ihyb_709B_N_220727_812022_14.qgd	866	0	369538	61836	131745	1571417	2645	1891	4726	0	858	0	61015	70559	136487	1120	0	0	6396	2197	23134	364939	0	0	287	0	1417	0	0	2650	0	39535	9046	2583	996	12606	5142	4137	24502	8235	8479	3856	5909	14747	65503	0	91441	0
Ihyb_712_N_220711_822022_27.qgd	23802	0	978287	306031	72392	7745	2327	3435	15222	27992	1726	0	62241	304207	402242	2052	13357	0	39700	331580	120887	809863	12669	9472	172544	45307	4365	0	0	9732	75885	97177	254179	17028	114309	41972	12305	44684	0	36749	9199	8640	8564	22083	93476	0	95168	0
Ihyb_712_N_220727_812022_14.qgd	0	0	150715	22600	45512	506287	0	941	0	0	840	0	17201	17947	288486	2159	0	0	0	369	3361	20156	0	0	0	0	0	0	0	1707	0	32091	3501	2837	0	7624	2379	3729	6314	309	6275	2836	4239	15993	79566	0	41659	0
Ihyb_712A_D_220728_812022_04.qgd	0	0	21728	1521	26487	0	0	878	0	750	649	0	18167	47913	52535	502	0	0	0	756	2625	0	0	0	0	413	0	0	0	743	0	40616	37891	1471	693	0	0	0	0	0	6417	0	3201	7068	56945	0	55767	0
Ihyb_712B_N_220711_822022_29.qgd	1040	0	504327	12541	26466	116962	935	5650	0	0	4306	0	29620	54538	288208	505	2435	0	1862	6033	2103	0	0	0	0	0	0	0	0	0	0	104946	10460	16080	3190	8919	2512	11504	7099	0	12252	2549	9249	55357	82073	0	57672	0
Ihyb_712BBrokenTrap_N_220727_812022_02.qgd	1229	0	9087	19691	49669	637423	0	969	0	0	2241	0	21377	120305	239271	2475	0	0	3697	0	14369	165811	0	3933	0	1714	437	0	0	0	0	92371	2813	1606	1996	2218	0	3843	1353	0	17481	0	5347	38554	86787	0	57486	0
Ihyb_713_D_220712_822022_03.qgd	5368	0	274052	6383	1238	1693	1034	4488	0	1835	1205	3402	28073	123146	86567	2005	632	0	0	467	513	0	0	1268	1186	13067	5191	1577	1021	0	0	134465	9233	2506	10327	0	0	0	0	0	9738	417	4787	5744	45227	0	45725	1483
Ihyb_713_D_220728_812022_05.qgd	2426	375	61444	25729	8510	42501	3016	2315	0	4201	1662	0	64176	566657	118633	2273	0	0	0	1096	6960	0	0	0	0	8685	0	0	0	0	0	96315	56446	2099	4459	1016	0	2914	990	0	15694	0	13536	22450	41387	0	32724	0
Ihyb_713_N_220727_812022_13.qgd	0	0	41130	9631	19260	229827	367	2878	1549	3499	1974	0	17027	46972	44450	4091	0	0	2222	1353	7893	103224	0	0	0	0	0	0	0	0	0	34867	2210	1403	0	2655	934	779	3204	0	7501	666	3148	23352	21384	0	52702	0
Ihyb_713B_N_220727_812022_13.qgd	0	0	77981	81909	195024	2268812	4063	2978	10227	0	1196	0	31767	64421	135127	1585	2291	0	32109	5552	85993	1351346	0	8548	0	0	4134	0	0	0	3732	49787	4247	3298	0	17075	0	17799	33365	21120	9538	5354	4498	5639	17293	0	69945	0
Ihyb_715_N_220727_812022_11.qgd	0	0	125120	33867	77609	865500	1450	678	1514	714	693	0	11805	33976	41998	706	277	0	5837	0	17010	300508	7097	0	794	0	472	0	0	1056	0	19316	2450	1221	0	3647	470	4004	5257	0	10405	1107	3402	0	2232	2744	51268	0
Ihyb_715A_N_220711_822022_15.qgd	1396	0	121016	75751	174453	1777558	2863	10621	27319	6619	1287	0	105704	694173	331951	3554	2729	0	28981	34495	47049	1136304	0	11664	14393	5258	11774	1756	5868	18224	9797	82220	16258	6597	4377	41758	8864	21383	19535	20482	8788	11462	3997	37963	181614	31023	33683	0
Ihyb_715B_N_220727_812022_01.qgd	1907	0	24310	21579	45093	497605	1054	3875	0	0	2354	0	70986	39945	183898	4065	721	0	3304	0	10145	160072	0	0	0	6032	0	0	0	0	0	109486	11575	8492	1077	4297	1587	6999	10091	5960	16192	1178	11289	26525	93252	0	42202	0
Ihyb_715unreadable_D_220728_812022_01.qgd	4793	0	160669	11786	1673	4297	0	1959	0	7926	544	0	45816	81411	23940	953	1732	0	0	498	1906	5380	21741	0	8571	9533	1133	887	633	7309	484	72863	1304	6269	3643	304	0	504	225	375	18398	0	0	0	4846	2161	67517	0
Ihyb_717A_N_220711_822022_21.qgd	4281	0	180243	44380	87759	581950	0	30439	14926	0	2200	0	45450	1309982	716984	6288	3882	0	9010	13058	20953	158994	0	0	14362	5581	17117	0	2503	23923	0	181477	23425	8342	10774	27721	8661	31033	20808	0	15813	5402	12097	69987	199460	18355	25963	850
Ihyb_718_D_220728_812022_02.qgd	0	0	14474	0	967	1980	0	887	0	1298	604	0	13209	62398	62375	4675	0	0	1091	1068	513	0	10826	0	0	0	0	0	0	0	509	49636	6320	760	0	0	0	517	76	0	8566	513	3351	4297	5987	0	52988	0
Ihyb_718_N_220727_812022_03.qgd	0	0	81549	21124	43504	458944	0	6912	0	4299	0	0	37597	0	1660320	2407	0	0	19198	2741	62171	621592	0	0	0	0	0	0	0	5891	0	128385	3596	8578	764	14446	6437	15179	9237	2490	16964	0	15514	113937	759240	0	35738	0
Ihyb_718A_N_220711_822022_28.qgd	1069	0	15342	6242	10004	87016	0	2890	0	0	3960	0	47082	94548	160570	3243	611	0	1431	3547	0	37340	0	0	5797	5246	350	0	0	1663	0	125228	3323	2207	6714	3481	1564	1995	2361	0	9511	889	7165	54892	36167	0	81705	0
Ihyb_718B_N_220711_842022_04.qgd	1305	0	664852	37534	59620	314033	582	2771	0	4819	3161	0	34037	75762	191287	1231	2530	0	16670	31016	27080	246719	0	0	0	3843	0	0	0	0	5305	110432	25978	3112	8336	5872	3228	6787	12074	18567	22504	2126	20151	18547	22699	0	47430	0
Ihyb_718B_N_220727_812022_11.qgd	2991	0	315016	59480	100676	1083807	1688	2338	0	14344	1271	0	58031	54234	77181	1441	1026	0	18334	20990	57563	851195	20417	0	10565	10278	0	0	0	0	6754	112481	31236	5249	0	8490	3345	2116	13080	10038	29792	2115	8979	4626	10470	0	47304	785
Ihyb_719_D_220712_822022_07.qgd	416	0	64265	0	285	0	924	4204	0	0	1763	0	22923	30348	112558	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152902	1445	2066	1150	0	0	0	0	0	6607	0	10702	26341	28741	0	38351	0
Ihyb_719_D_220728_812022_05.qgd	2704	2686	459714	13261	5884	27539	0	888	0	12830	1189	0	41155	388351	69001	2445	3707	0	1704	16974	12195	4789	6792	0	3689	3273	2480	945	0	0	3997	56016	28271	2158	2090	641	0	1585	551	0	9555	0	4013	22553	3697	0	45847	2316
Ihyb_719A_N_220727_7292022_05.qgd	344	0	93932	31757	66692	784877	0	1756	4226	6178	1223	162	19350	32049	161398	1976	0	0	5715	1395	19514	355161	0	0	0	0	0	0	0	1175	0	48611	3513	1076	720	9122	3938	2273	12446	10284	13579	2613	5904	15294	53912	0	58000	0
Ihyb_719B_N_220727_812022_17.qgd	1077	0	334208	28729	49301	585742	0	1514	2353	0	1498	0	29222	70232	210392	3045	0	0	0	1551	2569	44341	0	0	0	5736	901	0	0	1260	0	69305	6868	970	1773	5428	2941	1102	8419	2835	21526	1686	6118	17004	27357	0	119550	0
Ihyb_721_D_220728_812022_03.qgd	0	0	15165	0	344	861	0	784	0	1173	692	0	13428	36648	69120	757	0	0	0	0	1048	0	20134	1580	0	0	0	0	0	0	0	40279	7174	933	0	0	0	0	0	0	13613	0	3835	4379	6823	0	53255	0
Ihyb_721_N_220727_812022_08.qgd	796	0	470025	109454	216148	2586657	4024	3718	7716	3728	807	0	17766	45719	57919	1276	3444	0	20254	5969	55296	916130	27595	0	0	1650	5819	0	0	0	0	20476	12414	3320	1594	13980	3433	4428	20999	8798	7319	3610	2756	8780	12125	0	51183	787
Ihyb_721B_N_220711_842022_07.qgd	0	0	240992	19685	39816	273059	0	7495	0	0	2034	0	31981	27665	209583	3746	0	4911	2069	1625	1726	29434	0	3352	0	0	0	6744	0	0	0	129860	5941	2258	690	7639	3742	10831	7493	0	18678	1765	8859	44537	50778	0	41069	0
Ihyb_721B_N_220727_812022_10.qgd	0	0	0	69	0	0	0	0	0	0	0	0	0	0	58	110	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	321	0	0	0	136	186	0	0	0
Ihyb_721Bredo_N_220727_812022_10.qgd	4239	0	606913	78449	124701	1480834	1949	6168	14363	0	2303	0	82557	33808	155049	4045	3290	0	5019	7816	15947	238062	0	2947	10807	10903	11137	0	0	0	0	120919	42579	6986	2130	13560	7081	3206	30327	7418	25836	5982	8492	17891	35099	0	38979	0
Ihyb_726_D_220712_822022_11.qgd	24775	0	225053	62180	10594	47848	0	6044	0	10111	2780	0	256227	133393	179251	2720	2047	0	0	2873	5214	49050	0	0	29354	17377	8529	0	2052	0	5204	221109	76784	15842	50095	1295	0	4089	997	8783	39463	0	21174	25439	31135	0	63185	1202
Ihyb_726_N_220727_812022_12.qgd	4787	0	23315	25515	40867	427800	0	2571	0	2430	1025	0	79511	109452	69977	1340	469	0	2853	549	8590	135264	20875	0	8757	13521	2059	0	770	895	0	114731	17809	5009	2235	3926	0	1680	4558	0	25120	1439	6961	8136	24205	0	51121	0
Ihyb_726Aredo_D_220727_812022_16.qgd	0	0	17681	0	2493	7495	216	1094	0	5126	1171	0	43176	49842	84777	1799	0	236	0	482	3325	0	0	0	0	0	0	0	0	0	0	57707	71927	2495	1097	654	0	1451	422	0	13579	0	5600	17759	24966	0	86405	0
Ihyb_726B_N_220727_812022_12.qgd	884	0	82304	25932	56598	583171	933	1246	11826	4971	637	0	40952	117466	49433	2275	453	0	20360	2145	34079	919172	0	4708	0	2244	790	0	0	270	0	39542	5727	4150	1899	6162	1874	1762	6846	20840	12466	1792	5312	5384	16794	0	55323	0
Ihyb_729A_N_220711_842022_06.qgd	0	0	145945	0	9154	78148	0	9307	0	0	3978	0	138380	0	0	5299	0	0	0	0	0	0	0	9337	0	0	0	0	0	6317	0	191659	11966	13368	0	0	2295	8979	2081	0	31546	0	32095	119300	556736	0	64607	0
