date,site,plant,treatment,corolla_length,corolla_width,style_length,max_anther,min_anther,sepal_width,flyegg,notes
2022-07-14,Ihyb,504,ambient,,,,,,,,dead?
2022-07-14,Ihyb,703,water control,,,,,,,,not ready; chomped
2022-07-14,Ihyb,506,ambient,33.6,,26.4,28.9,28.1,1.3,,no reading from first straw
2022-07-14,Ihyb,503,ambient,30.8,,23.6,28.8,25.2,0.8,,
2022-07-14,Ihyb,799,nitrogen,29.1,,22.9,26.1,24.0,1.3,,
2022-07-14,Ihyb,798,ambient,33.6,,20.7,29.7,28.4,1.8,,style not fully developed; no reading from first straw
2022-07-14,Ihyb,717,water control,,,,,,,,not ready
2022-07-14,Ihyb,530,ambient,25.9,,23.8,24.5,24.2,1.4,,
2022-07-14,Ihyb,732,water control,23.9,,15.8,23.4,22.9,1.0,,
2022-07-14,Ihyb,709,water control,,,,,,,,munched tip
2022-07-21,Lagg,76,ambient,28.5,4.1,21.7,27.9,26.1,1.0,0,
2022-07-07,Lagg,280,ambient,28.7,3.4,28.7,29.8,28.1,1.1,1,
2022-07-21,Lagg,280,ambient,26.5,3.0,23.4,28.2,26.0,1.5,0,
2022-07-07,Lagg,281,ambient,29.1,4.0,24.5,29.8,27.8,1.6,0,
2022-07-21,Lagg,281,ambient,28.2,3.5,27.4,29.4,28.8,1.4,0,
2022-07-07,Lagg,283,ambient,25.8,3.5,24.8,25.1,24.0,1.9,1,
2022-07-21,Lagg,283,ambient,26.0,3.5,25.3,26.0,25.1,1.4,1,
2022-07-07,Lagg,293,ambient,28.9,3.2,26.7,28.1,25.0,1.4,0,
2022-07-21,Lagg,293,ambient,27.7,3.1,22.1,27.4,25.6,1.4,0,
2022-07-07,Lagg,297,ambient,27.7,2.6,23.0,26.6,25.7,1.5,1,
2022-07-21,Lagg,297,ambient,26.6,3.3,25.2,27.2,24.4,1.3,0,
2022-07-07,Lagg,316,ambient,26.4,3.5,24.4,28.1,25.4,1.3,0,
2022-07-21,Lagg,317,ambient,26.9,3.6,28.2,28.5,25.6,1.7,0,
2022-07-07,Lagg,320,ambient,25.6,3.5,24.2,27.8,23.5,1.5,0,
2022-07-21,Lagg,320,ambient,24.3,3.4,24.0,25.6,23.4,1.6,0,
2022-07-21,Lagg,322,ambient,25.1,3.5,23.6,24.0,23.1,1.2,1,
2022-07-21,Lagg,323,ambient,29.3,2.9,26.2,29.2,26.1,1.3,0,
2022-07-07,Lagg,325,ambient,26.8,3.5,27.2,28.5,27.4,1.7,0,
2022-07-21,Lagg,325,ambient,28.2,3.1,28.4,28.8,28.2,1.5,1,
2022-07-21,Lagg,332,ambient,30.5,4.0,30.9,30.9,28.2,1.9,1,
2022-07-07,Lagg,334,ambient,24.6,3.2,27.4,22.4,21.5,1.4,0,
2022-07-21,Lagg,334,ambient,29.7,3.4,27.1,28.9,27.4,1.5,0,
2022-07-21,Lagg,337,ambient,28.3,4.1,28.4,28.6,25.9,1.6,0,
2022-07-07,Lagg,341,ambient,26.6,3.5,28.2,25.8,22.4,1.7,1,
2022-07-07,Lagg,344,ambient,30.0,3.6,27.2,30.5,27.5,1.9,0,
2022-07-21,Lagg,344,ambient,30.7,3.2,28.0,30.9,30.0,1.7,0,
2022-07-07,Lagg,415,ambient,26.8,3.9,25.1,28.2,25.3,1.5,1,
2022-07-21,Lagg,2100,ambient,31.8,3.7,30.5,31.9,31.0,1.1,0,
2022-07-07,Lagg,539,nitrogen,28.4,3.7,25.6,27.5,25.4,1.4,0,
2022-07-21,Lagg,539,nitrogen,20.6,3.1,22.2,22.5,20.7,1.5,0,
2022-07-07,Lagg,540,nitrogen,26.9,3.9,29.2,26.3,25.1,1.5,0,
2022-07-21,Lagg,540,nitrogen,25.4,3.5,25.8,24.4,23.8,1.2,0,
2022-07-21,Lagg,541,water control,27.6,3.5,26.8,27.8,25.7,1.5,0,
2022-07-21,Lagg,543,nitrogen,28.1,4.2,24.9,29.8,25.8,1.5,0,
2022-07-21,Lagg,548,nitrogen,23.5,3.6,24.7,24.4,22.3,2.0,0,
