Filename,site,Sample,d_n,date,run_date,gc_n,file,batch,n
Ihyb_84aT1_N_220711_842022_01.qgd,Ihyb,713A,N,220711,842022,1,qgd,PG_Ihyb_220804_1.txt,324
Ihyb_84aT2_N_220711_842022_02.qgd,Ihyb,721A,N,220711,842022,2,qgd,PG_Ihyb_220804_1.txt,326
Ihyb_84aT3_N_220711_842022_03.qgd,Ihyb,705A,N,220711,842022,3,qgd,PG_Ihyb_220804_1.txt,338
Ihyb_84aT4_N_220711_842022_04.qgd,Ihyb,510,N,220711,842022,4,qgd,PG_Ihyb_220804_1.txt,334
Ihyb_84aT5_N_220711_842022_05.qgd,Ihyb,AIRAA,N,220711,842022,5,qgd,PG_Ihyb_220804_1.txt,333
Ihyb_84aT6_N_220711_842022_06.qgd,Ihyb,314,N,220711,842022,6,qgd,PG_Ihyb_220804_1.txt,324
Ihyb_84aT7_N_220711_842022_07.qgd,Ihyb,509A,N,220711,842022,7,qgd,PG_Ihyb_220804_1.txt,331
Ihyb_84aT8_N_220711_842022_08.qgd,Ihyb,737A,N,220711,842022,8,qgd,PG_Ihyb_220804_1.txt,309
Ihyb_84aT9_N_220711_842022_09.qgd,Ihyb,723A,N,220711,842022,9,qgd,PG_Ihyb_220804_1.txt,306
Ihyb_84aT10_N_220711_842022_10.qgd,Ihyb,101A,N,220711,842022,10,qgd,PG_Ihyb_220804_1.txt,332
Ihyb_AIRADH_N_220711_842022_01.qgd,Ihyb,AIRDHA,N,220711,842022,1,qgd,PG_Ihyb_220804_2.txt,320
Ihyb_707A_N_220711_842022_02.qgd,Ihyb,707A,N,220711,842022,2,qgd,PG_Ihyb_220804_2.txt,335
Ihyb_AIR5JP_D_220712_842022_03.qgd,Ihyb,AIRJP5,D,220712,842022,3,qgd,PG_Ihyb_220804_2.txt,325
Ihyb_718B_N_220711_842022_04.qgd,Ihyb,718B,N,220711,842022,4,qgd,PG_Ihyb_220804_2.txt,326
Ihyb_AIR2JP_D_220712_842022_05.qgd,Ihyb,AIRJP2,D,220712,842022,5,qgd,PG_Ihyb_220804_2.txt,329
Ihyb_729A_N_220711_842022_06.qgd,Ihyb,729A,N,220711,842022,6,qgd,PG_Ihyb_220804_2.txt,325
Ihyb_721B_N_220711_842022_07.qgd,Ihyb,721B,N,220711,842022,7,qgd,PG_Ihyb_220804_2.txt,327
Ihyb_AIRJP_N_220711_842022_08.qgd,Ihyb,AIRJP,N,220711,842022,8,qgd,PG_Ihyb_220804_2.txt,325
Ihyb_AIR3JP_D_220712_842022_09.qgd,Ihyb,AIRJP3,D,220712,842022,9,qgd,PG_Ihyb_220804_2.txt,310
Blank1_7262022_01.qgd,NA,Blank1,NA,NA,7262022,1,qgd,PG_Lagg_220726a_1.txt,321
Lagg_283_D_220721_7262022_02.qgd,Lagg,283,D,220721,7262022,2,qgd,PG_Lagg_220726a_1.txt,324
Lagg_562_D_220721_7262022_03.qgd,Lagg,562,D,220721,7262022,3,qgd,PG_Lagg_220726a_1.txt,309
Lagg_281_D_220721_7262022_04.qgd,Lagg,281,D,220721,7262022,4,qgd,PG_Lagg_220726a_1.txt,325
Lagg_574_D_220721_7262022_05.qgd,Lagg,574,D,220721,7262022,5,qgd,PG_Lagg_220726a_1.txt,324
Lagg_598_D_220721_7262022_06.qgd,Lagg,598A,D,220721,7262022,6,qgd,PG_Lagg_220726a_1.txt,319
Lagg_332_D_220721_7262022_07.qgd,Lagg,332,D,220721,7262022,7,qgd,PG_Lagg_220726a_1.txt,319
Lagg_341_D_220721_7262022_08.qgd,Lagg,341,D,220721,7262022,8,qgd,PG_Lagg_220726a_1.txt,322
Lagg_337_D_220721_7262022_09.qgd,Lagg,337,D,220721,7262022,9,qgd,PG_Lagg_220726a_1.txt,313
Lagg_334_D_220721_7262022_10.qgd,Lagg,334,D,220721,7262022,10,qgd,PG_Lagg_220726a_1.txt,312
Lagg_541_N_220721_7262022_01.qgd,Lagg,541,N,220721,7262022,1,qgd,PG_Lagg_220726a_2.txt,327
Lagg_297_N_220721_7262022_02.qgd,Lagg,297,N,220721,7262022,2,qgd,PG_Lagg_220726a_2.txt,331
Lagg_562_N_220721_7262022_03.qgd,Lagg,562,N,220721,7262022,3,qgd,PG_Lagg_220726a_2.txt,326
Lagg_2100_N_220721_7262022_04.qgd,Lagg,2100,N,220721,7262022,4,qgd,PG_Lagg_220726a_2.txt,317
Lagg_293_N_220721_7262022_05.qgd,Lagg,293,N,220721,7262022,5,qgd,PG_Lagg_220726a_2.txt,318
