time,species,name,high,low,HighLowRatio,term,df,sumsq,meansq,statistic,p.value,significant
D,ten,cosmene,2217.2131879128465,3873.539023081052,174.70304814158953,treatment,1,12995124.973795218,12995124.973795218,1.5118850156204975,0.23559838585018042,FALSE
D,ten,verbenone,946.6346401459134,1352.639371409646,142.88927470487997,treatment,1,780820.3033035884,780820.3033035884,0.8114553341618125,0.3802750276339478,FALSE
D,ten,b-caryophyllene,6328.5250995760625,7438.168048845948,117.53398986035812,treatment,1,5832509.091462817,5832509.091462817,0.04347726250727528,0.8373070335708945,FALSE
D,ten,linalool,2090.9436537513557,10752.040794417606,514.2195379166436,treatment,1,355332333.2213234,355332333.2213234,0.8149444998957996,0.37927614778979557,FALSE
D,ten,(Z)-b-ocimene,8498.322328083406,10110.94805992394,118.97581274967035,treatment,1,12318450.39944624,12318450.39944624,0.2148903545802511,0.6488410823070068,FALSE
D,ten,a-farnesene,90609.55352040817,167389.18844605476,184.73679865153883,treatment,1,27924216344.126373,27924216344.126373,1.0257641015789487,0.32535453919724955,FALSE
D,ten,"p-mentha-1,3,8-triene",1006.0733740017746,920.6254294149222,91.50678799430173,treatment,1,34585.34795108419,34585.34795108419,0.031237132771829695,0.8618009075542419,FALSE
D,ten,3-Furaldehyde,17402.00377933057,31873.13369765078,183.15783688949924,treatment,1,991959163.1663787,991959163.1663787,4.448049863638337,0.05007523423488437,FALSE
D,ten,"tricyclo[5.2.1.02,6]dec-2-ene",107.7333333333333,285.43714439076757,264.9478444221234,treatment,1,149583.05272580343,149583.05272580343,0.9064567370232407,0.3543979359012115,FALSE
D,ten,"Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-",4474.058724489796,10551.890039229795,235.84603352369027,treatment,1,174979106.00731963,174979106.00731963,1.180239317339059,0.29247218780972023,FALSE
D,ten,"(3E)-4,8-dimethylnona-1,3,7-triene",2270.9466908212557,455.8568169618894,20.07342659360424,treatment,1,15605769.079832265,15605769.079832265,3.5437418511403087,0.07700148787924581,FALSE
D,ten,2-Decanone,7631.721327886227,10492.49537037037,137.48530534036806,treatment,1,38766448.999662995,38766448.999662995,0.8930941261877178,0.35787945725154513,FALSE
D,ten,D-limonene,49734.158822340534,84177.83415104898,169.25557030480303,treatment,1,5619632069.129109,5619632069.129109,1.661685043745738,0.21464122112897255,FALSE
D,ten,a-terpineol,710.8801388888888,551.7393931088042,77.61356140448333,treatment,1,119964.20668788132,119964.20668788132,0.2510716035974915,0.6227473981470816,FALSE
D,ten,"3-ethenyl-1,2-dimethylcyclohexa-1,4-diene",1190.4912136448784,3210.8287011340667,269.7062073481083,treatment,1,19334669.5106248,19334669.5106248,2.943045400144126,0.10441533386811873,FALSE
D,ten,"Benzenebutanoic acid, .gamma.-oxo-",35938.730480873506,48107.097344993774,133.85864414603137,treatment,1,701380194.3465173,701380194.3465173,0.35289867975411826,0.5602997375191592,FALSE
D,ten,(E)-hex-3-en-1-ol,8499.499923469388,10612.65754159957,124.86214056306055,treatment,1,21152061.090291947,21152061.090291947,0.11058625646166273,0.743543147475139,FALSE
D,ten,"2,6-Octadienal, 3,7-dimethyl-, (E)-",574.7909722222222,2044.8192431561995,355.75006254023833,treatment,1,10236235.819003291,10236235.819003291,1.0426552659452841,0.3215169707296677,FALSE
D,ten,indole,3695.056685275559,3894.274263370679,105.39146202787583,treatment,1,187994.10042040303,187994.10042040303,0.00611645362459416,0.9385759601905095,FALSE
N,agg,b-myrcene,111337.92505919727,97908.20994550631,87.93787911302415,treatment,1,901786240.1744971,901786240.1744971,0.1809804788557824,0.6755747636054422,FALSE
