species,name,D,N,NighttoDayRatio,term,df,sumsq,meansq,statistic,p.value,significant
ten,verbenone,1138.9526707445236,3503.304262571819,307.5899774028133,time,1,54468210.536281556,54468210.536281556,1.3911239431804805,0.24574390931077497,FALSE
ten,b-caryophyllene,6854.145443967061,6287.906692620733,91.73874035829333,time,1,3124051.35743523,3124051.35743523,0.03776717435307544,0.8469745080415242,FALSE
ten,linalool,6193.568615119578,5205.912047193222,84.05351374463964,time,1,9504535.603688875,9504535.603688875,0.04021885213330753,0.8421515927259705,FALSE
ten,(Z)-b-ocimene,9262.197674744712,99609.37595353817,1075.439970636166,time,1,79533148633.77525,79533148633.77525,14.91832804732139,4.361820501822064e-4,TRUE
ten,a-farnesene,126978.8542746618,1222157.3197926523,962.4888543639423,time,1,11686616182232.031,11686616182232.031,8.594458397088856,0.005752565488319679,TRUE
ten,"p-mentha-1,3,8-triene",965.598031829055,12914.755528475767,1337.4877643456232,time,1,1391212786.0070243,1391212786.0070243,21.40787271597321,4.439291265730003e-5,TRUE
ten,3-Furaldehyde,24256.74953011383,26964.57717472685,111.16319250133392,time,1,71443220.77214347,71443220.77214347,0.2893806876920879,0.593838979587029,FALSE
ten,"tricyclo[5.2.1.02,6]dec-2-ene",191.90882278159168,3122.9931302320365,1627.3317114691824,time,1,83709666.22064762,83709666.22064762,12.001119979492174,0.001360919164809301,TRUE
ten,"Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-",7353.031452524532,28666.63187943555,389.86140702000364,time,1,4426216256.411495,4426216256.411495,6.689227999715298,0.013769777760266586,TRUE
ten,"(3E)-4,8-dimethylnona-1,3,7-triene",1411.1672768878718,3755.9244585687793,266.1572812864493,time,1,53569147.98966135,53569147.98966135,1.2955676748480884,0.2623411649526268,FALSE
ten,2-Decanone,8986.824821694505,10116.091485330686,112.56580256143518,time,1,12425446.5407179,12425446.5407179,0.4473870349161405,0.5077305096659079,FALSE
ten,D-limonene,66049.58397804454,65985.4210322455,99.90285639676343,time,1,40113.22495311722,40113.22495311722,1.4457177750034729e-5,0.9969866700935731,FALSE
ten,a-terpineol,635.4976803614803,743.2755373163758,116.95959879721197,time,1,113182.18592102971,113182.18592102971,0.22520470083545976,0.6378915274657192,FALSE
