species,name,D,N,NighttoDayRatio,term,df,sumsq,meansq,statistic,p.value,significant
Lagg,b-caryophyllene,26504.282126992857,7887.325389508643,29.75868333923266,time,1,6324100220.770642,6324100220.770642,2.270410556992165,0.1363015726282285,FALSE
Lagg,linalool,2515.5549166187466,4069.3016694991484,161.76556681850747,time,1,44049586.1756035,44049586.1756035,1.247813822962518,0.26773634479460184,FALSE
Lagg,(Z)-b-ocimene,6434.642792792793,90826.37129916085,1411.5215750731668,time,1,129951449798.21451,129951449798.21451,27.306033455157944,1.6661021525442523e-6,TRUE
Lagg,a-farnesene,21391.353881541112,362609.6511920061,1695.1224929475213,time,1,2124447424530.29,2124447424530.29,16.307761330304412,1.3442612964341855e-4,TRUE
Lagg,3-Furaldehyde,21434.902233500845,19118.922266353497,89.19528560513946,time,1,97870309.49807534,97870309.49807534,0.8436289385990072,0.36147076529484456,FALSE
Lagg,"Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-",1212.2538623730115,7699.734007366051,635.1585461063136,time,1,767950890.1013199,767950890.1013199,10.093488624542974,0.0022032157366930465,TRUE
Lagg,"(3E)-4,8-dimethylnona-1,3,7-triene",5109.7557333466675,4511.343317943172,88.28882540317517,time,1,6534051.534066401,6534051.534066401,0.20062706732668,0.6555789441812625,FALSE
Lagg,2-Decanone,10478.997949846238,9261.817476522509,88.38457189180393,time,1,27032817.832619898,27032817.832619898,0.6590648869522706,0.41960373239897764,FALSE
Lagg,D-limonene,49692.44850613796,26474.224798345072,53.27615280433405,time,1,9836471712.01772,9836471712.01772,2.3259558147446993,0.131674415282272,FALSE
Lagg,a-terpineol,1313.1458017684658,437.16183574879227,33.291187860483504,time,1,14001471.430407928,14001471.430407928,3.524717529383073,0.06456817345001298,FALSE
Lagg,"Benzenebutanoic acid, .gamma.-oxo-",47301.12050112092,117936.57207127102,249.33145519983236,time,1,91038861214.62097,91038861214.62097,3.9321498335728533,0.05124066928077982,FALSE
Lagg,(E)-hex-3-en-1-ol,44655.22542274004,6794.59633664127,15.215680297923695,time,1,26155138037.632,26155138037.632,3.9664504947199237,0.05026320793183243,FALSE
Lagg,"2,6-Octadienal, 3,7-dimethyl-, (E)-",0,666.472068072512,Inf,time,1,8104855.388188673,8104855.388188673,2.4760424501919394,0.1200386858915977,FALSE
Lagg,indole,1879.5275383153737,2065.7039393943587,109.90548940005718,time,1,632456.4505279359,632456.4505279359,0.4047213362431363,0.5267065378619753,FALSE
Lagg,monoterpene A,212.2674500587544,4553.429004344054,2145.137656802158,time,1,343869186.42491966,343869186.42491966,25.26162607893676,3.6055617573455673e-6,TRUE
Lagg,monoterpene B,529.1845671758715,2922.033698843757,552.1766657780546,time,1,104474908.49236207,104474908.49236207,19.579156883514788,3.4129343903579853e-05,TRUE
Lagg,monoterpene C,1864.9526110291606,6032.200480394626,323.45060376980837,time,1,316869202.73837936,316869202.73837936,10.33677658336221,0.0019635974043409584,TRUE
Lagg,monoterpene D,944.9917352134744,10666.97759834438,1128.7905704206717,time,1,1724611728.1058316,1724611728.1058316,34.25130503798608,1.372690838938e-7,TRUE
